标题,原价,最终价,历史价,销售店铺,店铺 ID,sku
西门子（SIEMENS）【黑魔镜3.0】636Max全面升级【双一级认证】超省水省电150升以上AI智能洗嵌入式洗碗机SJ43EB33KC,6499.00,6499.00,6999.00,西门子家电京东自营旗舰店,1000001421,100130777668
美的晶焰G7洗碗机 16套灶下嵌入式 万向飓风喷臂,4999.00,4999.00,7999.00,京东电器自营官方旗舰店,1000469621,100193977566
美的台式UP2 Pro 50L 三星消毒 专利母婴洗洗碗机,1998.00,1998.00,5099.00,美的京东自营旗舰店,1000282702,100214818628
美的万向X6S Max星河版 150L+母婴级单消毒洗碗机,5175.00,5175.00,10099.00,美的京东自营旗舰店,1000282702,100196507873
西门子新水效洗碗机全链路除菌99.999%,5790.00,5790.00,9999.00,西门子家电京东自营旗舰店,1000001421,100333110210
老板盐系 G1P 嵌入式洗碗机 21 套自动开关门烘干,6234.10,6234.10,7599.00,京东家电自营旗舰店,1000492521,100283224498
美的万向X6S小蛮腰111L 45cm超窄双模烘干 洗碗机,6234.00,6234.00,6999.00,美的京东自营旗舰店,1000282702,100272261422
美的（Midea）【万向X6S Max】洗碗机嵌入式升级18套一键洗烘蒸汽消毒UV杀菌105℃热烘一体机 国家补贴立减20% 四星级消毒【免费上门测量尺寸】,5799.00,5799.00,7099.00,美的智慧厨房旗舰店,12262797,10169917537095
老板（Robam）【小太阳消毒洗碗机】150升以上嵌入式105℃独立消毒45分钟极速洗烘消专柜同款W76A-V20P升级款,7289.00,7289.00,9499.00,老板电器京东自营旗舰店,1000001402,100254885053
CIARRA【德国品质】集成水槽洗碗机一体式蜂窝双槽超声波洗菜池嵌入式洗碗机一体多功能保洁柜AKC09PLUS 搭配RO净水器,21980.00,18980,21980.00,CIARRA旗舰店,11663174,10113377471006
美的灶下T7 Pro 137L 700mm高万向飓风洗洗碗机,6822.00,6822.00,7999.00,美的京东自营旗舰店,1000282702,100272261426
美的万向X6S Max洗碗机 18套嵌入式 四星消毒 七星消杀 一键洗烘,6469.00,6469.00,6999.00,京东电器自营官方旗舰店,1000469621,100261776992
老板（Robam）【推荐消毒洗碗机V20】【甲流消杀】嵌入式洗碗机家用全自动独立消毒分层洗W64B35D黑色,5353.00,4817.7,5999.00,老板电器京东自营旗舰店,1000001402,100267393790
老板（Robam）【B35升级款】AI智能洗盐系G3 15套洗碗机灶下嵌入式家用免改柜直换 一键消毒洗热风烘干APP智联 灶下 106L 洗碗机G3 15套大容量,5057.65,4299,5299.00,老板电器官方旗舰店,48802,10214072439348
海尔W5000Plus 18套双面洗 AI智能洗双重除菌嵌入式洗碗机,3666.00,3666.00,6899.00,海尔京东自营旗舰店,1000001782,100142299486
美的【万向X6S MAX】洗碗机 嵌入式升级款18套大容量家用洗碗机 万向喷淋臂 105℃热烘 X6SMAX【黑色款】,5499.00,5499.00,5999.00,美的集成灶旗舰店,16284515,10217247949681
老板（Robam）【独立下层洗】盐系G3 106升容量灶下可装家用全自动洗碗机嵌入式七星级消毒一级能效W60A-G3,5054.00,5054.00,5999.00,老板电器京东自营旗舰店,1000001402,100339833852
美的（Midea）【万向X6S Max】洗碗机全嵌入式升级18套大容量家用洗碗机全自动万向喷淋臂热风烘干【X6S Ultra】 嵌入式 【新品】【万向升级款X6SUltra】,5499.00,5499.00,6999.00,美的洗碗机旗舰店,674884,10213700043093
美的（Midea）【小西梅X7】洗碗机全嵌入式升级22套大容量家用洗碗机全自动万向喷淋臂105℃热风烘干电吸门 嵌入式 【重磅新品】 小西梅X7,5999.00,5999.00,7599.00,美的洗碗机旗舰店,674884,10215678259719
海尔（Haier）洗碗机【AI四驱双面洗】5000Plus嵌入式全自动洗碗机UV超净洗高温独立消杀7天长效存储智能速干 嵌入式 【免费厨改】17套分区洗大容量,4587.00,4587.00,4699.00,海尔新大洋专卖店,19662627,10167468292422
